x,y,z,p,type
0.9137313319467308,0.08288515337797861,0.43006621532261385,100,steelblue2
1.0766630289118262,0.2302505604030341,0.48596517663872,100,steelblue2
1.0219103452752514,0.14103533113675984,0.44076352422357445,100,steelblue2
-0.5879780426394299,0.8060103809251346,0.061213855033067636,100,steelblue2
-0.8175743691446464,-0.33117247040837794,0.33421167678208447,100,steelblue2
-0.68182277432168,0.6051065601475514,0.1114042898233106,100,steelblue2
-0.5529583253013226,-0.2637320944821903,0.3186351499254785,100,steelblue2
-0.7589634206235312,-0.26829927952290106,0.17364823831152193,100,steelblue2
-0.5711974139645787,0.8215338193179066,0.030558448982316588,100,steelblue2
0.7336044382215805,0.034128210405561646,0.45351611384392165,100,steelblue2
0.798231212768543,0.12252922563776475,0.5914441958394264,100,steelblue2
-0.8412940092133101,0.7450643607462826,0.07622680986643376,100,steelblue2
-0.7329010613943923,-0.17633909054501382,0.427605297036535,100,steelblue2
0.8769023459586237,0.09663614359856083,0.4645095153078375,100,steelblue2
0.8491618009570117,0.03453917363960634,0.5347318911618774,100,steelblue2
-0.7974961924083125,0.7270571848544513,0.11598322949352632,100,steelblue2
-0.6728066923314737,0.5433071040842739,0.1239661269805325,100,steelblue2
0.8473971591447694,-0.09100107275574472,0.5019456920752268,100,steelblue2
0.9674702208479501,0.08635461584423405,0.34613771157554646,100,steelblue2
-0.7424359252608652,0.7508118136748808,-0.12324825101768813,100,steelblue2
-0.5701464202018488,0.7900255393895541,0.1078912040381197,100,steelblue2
-0.753048969053507,-0.3017228474019953,0.47318323065533746,100,steelblue2
-0.5036427147360213,0.8118244200976887,-0.07428171237093222,100,steelblue2
-0.5400884587006441,0.8939140288364527,0.028018822385373746,100,steelblue2
-0.7729827873864501,-0.48930783656188115,0.3529354773369966,100,steelblue2
-0.8587451082992172,0.5883896390684733,-0.03511819504002299,100,steelblue2
0.7531621836170002,0.10229338382523427,0.2889317913128304,100,steelblue2
-0.7460759269775397,-0.4122623789695025,0.5144424380331551,100,steelblue2
-0.733745776742018,-0.2999107562256316,0.48752584847424796,100,steelblue2
0.9226050734861456,0.3278540165993386,0.4955655528955857,100,steelblue2
-0.8124627765075368,0.8242736278059397,0.07293228995619458,100,steelblue2
0.9657903358696792,-0.008827153835411343,0.45893747497027926,100,steelblue2
0.7949926564934212,-0.08385896896889365,0.4381019050897019,100,steelblue2
-0.7754152370155094,-0.22243609845355758,0.29666529541836456,100,steelblue2
-0.4909497157596944,0.6878633918389553,0.0661055148603487,100,steelblue2
-0.6708044413049462,0.8249382363850416,0.11826761143993031,100,steelblue2
0.9998070440431037,-0.007136454657389577,0.39187273924654953,100,steelblue2
-0.7650291664889397,-0.3509256148712813,0.39408307218678684,100,steelblue2
-0.7538172955453651,-0.31739429607632214,0.48926475843692596,100,steelblue2
0.7490405185260867,0.047831668857394365,0.5191698590781985,100,steelblue2
-0.6720805225785779,-0.4133419157246905,0.43272998419221,100,steelblue2
-0.776565507499063,-0.10326300796329524,0.4857392620122854,100,steelblue2
-0.7470855838498216,-0.5121844232683854,0.40458206417082426,100,steelblue2
-0.5312400974874258,0.9156933664851465,0.03610106304425706,100,steelblue2
0.829574184430355,0.060359217760050564,0.5147840814693883,100,steelblue2
-0.3034445478907675,0.9329419438357966,-0.015196889584979436,100,steelblue2
0.8798733064492706,-0.03646598850433884,0.4727518273947463,100,steelblue2
-0.8090570574585187,-0.2484115432085144,0.33235741843131855,100,steelblue2
-0.6888452203428161,-0.21688055294419928,0.285582873002237,100,steelblue2
0.8991325955039574,0.20658547159086266,0.4619631668469453,100,steelblue2
-0.4771620201066318,0.6901253740773359,0.06287377355483119,100,steelblue2
0.7479719645165358,0.030213870429316492,0.46262656207359937,100,steelblue2
0.9013261780351824,-0.03454683498114959,0.5163474404788915,100,steelblue2
0.945578711803338,0.10584577150458985,0.38068776239766855,100,steelblue2
-0.7063536900775992,-0.2956003839462199,0.35990074032553054,100,steelblue2
-0.45689221083792364,0.8624447906366639,-0.0023684019793640157,100,steelblue2
-0.5539363801476441,0.582519637711853,0.19418038242943159,100,steelblue2
-0.8079879483574623,-0.47093915709107553,0.5932645917530713,100,steelblue2
-0.49516881034730037,0.7313819617591325,0.11398941454298463,100,steelblue2
-0.7032144662121361,0.7639127055178435,0.13252263674098097,100,steelblue2
-0.8144240312567991,-0.4127540261715825,0.5145269801772192,100,steelblue2
-0.5708684524167661,0.7563274332221672,0.12487009049240827,100,steelblue2
-0.5798509028693241,0.8679805303748865,0.12879378415509296,100,steelblue2
-0.7228164062702751,-0.39506381856067235,0.40100525162563494,100,steelblue2
-0.7031334146083761,-0.3378271243947177,0.4537970741709135,100,steelblue2
0.9617841983504928,-0.16737462496081287,0.46611681054902165,100,steelblue2
-0.6733766990732651,-0.3830331724777516,0.5388347146073861,100,steelblue2
-0.736505454114394,-0.41323152469745295,0.36440842036990584,100,steelblue2
-0.5364508845572189,0.865095864993788,0.03194652454294866,100,steelblue2
0.7610053825221798,0.07900667279635609,0.19824427925834912,100,steelblue2
0.7756103760750114,-0.1892036431864558,0.5034281078458901,100,steelblue2
-0.5940442348315034,0.9332377799070782,0.08063658820181172,100,steelblue2
-0.5361756593768903,0.9627051525169108,0.03112616852867335,100,steelblue2
-0.8893065129292683,-0.42634918571229496,0.589431208826733,100,steelblue2
-0.6643742636000992,-0.36903358822213145,0.4414349438726397,100,steelblue2
-0.6410323137842266,-0.3816690891450926,0.31186663533469455,100,steelblue2
0.9418885310228248,-0.0029248103145367473,0.4942635941138799,100,steelblue2
0.9013673130543247,0.05507199032961767,0.6370900138343645,100,steelblue2
-0.8291247915582921,0.6244785490563449,0.2831586613712249,100,steelblue2
0.9143857487274002,0.025918693898390813,0.47871274313833934,100,steelblue2
0.6849676628439355,0.11290269118070011,0.42159126771633054,100,steelblue2
-0.4849024696378307,0.6760506714063474,0.05682887006743205,100,steelblue2
0.728275151742966,-0.09711860037372014,0.393804037338256,100,steelblue2
0.9526346797603576,0.11976171430482499,0.5198210964501695,100,steelblue2
0.9771631274686045,0.12130741373092815,0.5321265924637062,100,steelblue2
0.7034500703118559,0.19976587582430566,0.572533671961217,100,steelblue2
-0.6818129084270033,0.8495087748345919,0.2426927497194496,100,steelblue2
0.9986905935013181,0.19618829819302042,0.7295892700179136,100,steelblue2
-0.8247111786742299,0.6878580688752287,0.1138547585831325,100,steelblue2
0.8996648123399933,0.041332129944863884,0.5052221027444176,100,steelblue2
0.8115649132610221,0.05830402970165784,0.6205557647228098,100,steelblue2
0.8957205539331335,0.036564515103881444,0.5579363439369472,100,steelblue2
1.1203212495443735,-0.021712495994753285,0.2846151324656089,100,steelblue2
-0.6435496291159689,0.7252676125525851,0.2600769603074508,100,steelblue2
-0.6181300707816584,-0.333545577980161,0.37201057257910036,100,steelblue2
-0.6698585862019715,-0.26526670186158885,0.4321768141017007,100,steelblue2
-0.7937157033039496,-0.3560200936296889,0.5269025732511384,100,steelblue2
-0.7174700772189172,-0.4127034944155627,0.462293995466576,100,steelblue2
-0.7030639145398749,-0.21471294804632032,0.5615023483565177,100,steelblue2
0.7636460015422043,0.1375315170337014,0.29831863099024214,100,steelblue2
0.8356939597255698,0.22914407284539628,0.4271635321738481,100,steelblue2
0.7884724838413931,-0.012243067482977394,0.47882811468538816,100,steelblue2
-0.5410481651655634,0.8282846639682246,-0.06956502131386963,100,steelblue2
-0.6283535686335178,-0.2726764608075584,0.4998086874962514,100,steelblue2
-0.6978290797480988,0.8653990008904551,0.10040072539306463,100,steelblue2
-0.7031883611373227,0.8370827135572176,0.15399608983688376,100,steelblue2
-0.9380283241007324,-0.2325044273072659,0.4425704122760727,100,steelblue2
-0.7221348310864081,0.8588254997765502,0.29344621489134054,100,steelblue2
-0.6492423217487452,0.8205629926137179,0.365186187032456,100,steelblue2
-0.71240782158302,-0.18851569986565941,0.4849463660340357,100,steelblue2
0.6735491545966552,-0.018535882181955964,0.24173358218087568,100,steelblue2
-0.3118621263267136,0.7521756758520086,0.08036905709347901,100,steelblue2
0.8668291294437139,0.17679110406145931,0.6353799203136755,100,steelblue2
-0.70258326349109,-0.4226268071088382,0.45481364655875606,100,steelblue2
-0.8279129740111142,-0.32417049866001896,0.23873585947977055,100,steelblue2
-0.7520445307751044,-0.44126189389690784,0.13285308188533393,100,steelblue2
-0.5847686586597525,0.9711026022782835,-0.18797043586022283,100,steelblue2
0.7692867844279251,0.1875171599154921,0.6731313313757002,100,steelblue2
0.847873103349713,-0.03711707115745689,0.3556353911135536,100,steelblue2
-0.665763424549567,0.8310435055391808,-0.08931827083132235,100,steelblue2
0.8913037333572731,0.049947879559607604,0.4340518769356208,100,steelblue2
0.8719952616483468,0.0560232410709244,0.481100645349322,100,steelblue2
-0.6951169000031174,0.6773336043184296,-0.10497635506309995,100,steelblue2
-0.47810132818627654,0.6658371084628149,0.06429593812478328,100,steelblue2
