x,y,z,n,type
-0.7164578480521491,0.7626871653650056,0.3089548425515635,100,steelblue2
-0.8642421458646875,-0.27556370594887847,0.2712825181393003,100,steelblue2
-0.7644967987621623,-0.2739196452554295,0.3096473938251635,100,steelblue2
-0.5177414109970616,0.8675162637188439,0.13041994615351934,100,steelblue2
-0.7103443521589693,-0.33004930327859044,0.40690347265467647,100,steelblue2
-0.7850186869032382,-0.4475951767619222,0.42379877297591095,100,steelblue2
0.9870395506118677,0.10755444665860026,0.3953237730704883,100,steelblue2
0.7488218148919489,0.049142221723267446,0.5356722992006322,100,steelblue2
-0.6612723767716966,0.8126937896980475,0.03660777993511321,100,steelblue2
-0.8514696862886387,-0.4541550706226086,0.615606828265949,100,steelblue2
-0.4733030349089896,0.7879335159366516,0.048436002590102174,100,steelblue2
-0.8500063189394754,-0.4521003524505289,0.6086425041316118,100,steelblue2
0.8467042687173741,0.13849933812462728,0.522048266441496,100,steelblue2
-0.5087511330642126,0.7210146140030218,0.06666033286339466,100,steelblue2
-0.6197473083368237,0.858865903270979,0.22902185769290379,100,steelblue2
-0.7279700776392974,0.9042607486460901,0.16141292011386316,100,steelblue2
-0.5444520145424355,0.7709870297221543,0.1488975134415928,100,steelblue2
-0.8251688876658845,-0.2931387458011793,0.5135502933043717,100,steelblue2
-0.6390876300307408,0.792827715677706,0.19366528133986582,100,steelblue2
0.9023864443674634,0.1099012347705278,0.4971495842268558,100,steelblue2
-0.8040303086693368,-0.38387937596615934,0.23121241552016145,100,steelblue2
-0.9061775206471526,-0.42323735626104086,0.4223641618556162,100,steelblue2
-0.5632409016345503,0.8192506431274416,0.16842242583767697,100,steelblue2
0.8528349911373982,0.10091411305659559,0.37404432193406806,100,steelblue2
-0.5926129824123402,0.7912109580814589,0.1198196172221683,100,steelblue2
-0.545365428208343,0.874077885806681,0.0270304312445409,100,steelblue2
-0.5504582943810792,0.8011321245064345,0.17757528545324341,100,steelblue2
0.8840375679137791,0.09689951298853072,0.38615407567957083,100,steelblue2
-0.6340890084108844,0.8258253434899683,0.23106165261281203,100,steelblue2
0.8209685615402947,0.15501518719386323,0.5000229845320026,100,steelblue2
-0.8505527874293151,-0.3047589624723984,0.4574032344862761,100,steelblue2
-0.614303772417571,0.8860512029274364,-0.026799945842753425,100,steelblue2
-0.8197011174511897,-0.39759220075155804,0.4490796732397201,100,steelblue2
-0.476290651371691,0.8116607870401367,0.09452436267756749,100,steelblue2
-0.5552098379497392,0.8090954175247627,0.11085833867319071,100,steelblue2
